"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,"1000878","MANHATTAN","7",,"1","1","0","In Compliance ","1","50044","100","286.6","40.705456","-74.007794","Not Available","Battery Park City-Lower Manhattan                                          ","1000390004","Office","2273784","1000878","107751","None","37.9","62.1","WALL STREET         ","80","286.6","Not Available","Not Available","10005"
"No","Yes",,"1000877","MANHATTAN","7",,"1","1","0","In Compliance ","1","53253","100","199.6","40.705415","-74.007729","7.48","Battery Park City-Lower Manhattan                                          ","1000390001","Office","2273786","1000877","92236","Manual","30.7","51.7","WALL STREET         ","82","199.6","Not Available","Not Available","10005"
"No","Yes",,"1075618","MANHATTAN","1502",,"1","1","390.1","In Compliance ","1","234553","63","1175.7","40.707904","-74.004411","14.73","Battery Park City-Lower Manhattan                                          ","1000750021","Office","2379801","1075618","249167","Manual","78","200","FULTON STREET       ","40","1565.8","75.4","197.4","10038"
"See Primary BBL","Yes","2-02795-0014;2-02795-0007","2007406","BRONX               ","22901","Secondary","5","15","See Primary BBL","In Compliance ","1","64075","See Primary BBL","See Primary BBL","40.845506","-73.909313","See Primary BBL","Mount Hope                                                                 ","2027950007","See Primary BBL","2285729","0","See Primary BBL","See Primary BBL",,"See Primary BBL","MORRIS AVENUE       ","1742","See Primary BBL","See Primary BBL","See Primary BBL","10457"
"No","Yes","2-02795-0014;2-02795-0007","2094521","BRONX               ","22901","Primary","5","15","237.3","In Compliance ","1","243047","86","655.6","40.846497","-73.909275","Not Available","Mount Hope                                                                 ","2027950014","Office","2285729","2094521;2007406","179967","None","68.8","164","GRAND CONCOURSE     ","1780","892.9","66.3","162.3","10457"
"No","Yes",,"1015190","MANHATTAN","101",,"5","3","0","In Compliance ","1","1105991","83","4718.7","40.748608","-73.988653","16.2","Midtown-Midtown South                                                      ","1008080040","Office","2287675","1015190","1011831","Manual","56.4","175.4","BROADWAY            ","1275","4718.7","56","174.5","10001"
"No","Yes",,"1036474","MANHATTAN","100",,"6","4","147.6","In Compliance ","1","1835280","53","17080.1","40.758019","-73.969174","19.09","Turtle Bay-East Midtown                                                    ","1013087501","Office","2290301","1036474","1750740","Manual","132.8","281.8","   3 AVENUE         ","884","17227.7","132.8","281.8","10022"
"No","Yes",,"1035759","MANHATTAN","102",,"5","4","0","In Compliance ","1","272532","63","2137.8","40.761081","-73.973797","Not Available","Midtown-Midtown South                                                      ","1012900056","Office","2306542","1035759","294345","None","94.6","229","MADISON AVENUE      ","540","2137.8","90.4","223.4","10022"
"No","Yes",,"1001230","MANHATTAN","21",,"1","1","0","In Compliance ","1","1154357","86","5856.9","40.712586","-74.009775","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1000860001","Office","2313463","1001230","1234704","None","60.7","156.8","CHURCH STREET       ","90","5856.9","59.1","154.7","10007"
"No","Yes",,,"QUEENS",,,,,"2271.5","In Compliance ","2","428836","11","841.9",,,"Not Available",,"4021620122","Multifamily Housing","2318262","Not Available","428836","None","123.4","179","COLONIAL AVENUE     ","    61-20","3113.5","Not Available","Not Available","11375"
"No","Yes",,"1035454","MANHATTAN","94",,"5","4","48.9","In Compliance ","1","401686","75","2481.2","40.757107","-73.976152","14.87","Midtown-Midtown South                                                      ","1012850015","Office","2318949","1035454","462725","Manual","70","183.4","MADISON AVENUE      ","432","2530.1","Not Available","Not Available","10017"
"No","Yes",,"2102451","BRONX               ","46201",,"10","12","23.9","In Compliance ","1","134100","75","528.6","40.866538","-73.830716","8.41","Co-op City                                                                 ","2051410020","Retail Store","2344695","2102451","134028","Manual","50.9","152.8","BAYCHESTER AVENUE   ","300","552.4","50.6","153.1","10475"
"No","Yes",,"1062989","MANHATTAN","251",,"12","10","3840.8","In Compliance ","1","286481","1","4018.5","40.83999","-73.93975","Not Available","Washington Heights South                                                   ","1021240017","Office","2363861","1062989","271200","None","436","830.3","ST NICHOLAS AVENUE  ","1132","7859.3","432.4","827.7","10032"
"No","Yes",,"1077287","MANHATTAN","96",,"5","4","0","In Compliance ","4","1898151","59","5751","40.758977","-73.981089","Not Available","Midtown-Midtown South                                                      ","1012640005","Office","2364064","1077287","730615","None","113.2","232.8","AVENUE OF THE AMER  ","1230","5751","112.2","231.4","10020"
"No","Yes",,"1082656","MANHATTAN","104",,"5","4","0","In Compliance ","1","272635","23","1269.2","40.75801","-73.977595","Not Available","Midtown-Midtown South                                                      ","1012650050","Office","2364080","1082656","111101","None","160.4","313.9","   5 AVENUE         ","610","1269.2","154.8","307","10112"
"No","Yes",,"1083861","MANHATTAN","104",,"5","4","0","In Compliance ","7","2734038","34","12376.2","40.75999","-73.980349","Not Available","Midtown-Midtown South                                                      ","1012660001","Office","2364088","1083860","1217115","None","142.2","293.6","AVENUE OF THE AMER  ","1260","12376.2","139.3","290.4","10020"
"No","Yes",,"1076262","MANHATTAN","104",,"5","4","0","In Compliance ","3","2963698","22","34711.2","40.759606","-73.980627","Not Available","Midtown-Midtown South                                                      ","1012657501","Office","2364104","1076262","2911536","None","131.9","432.5","AVENUE OF THE AMER  ","1250","34711.2","130.6","431.5","10020"
"Yes","Yes",,"1018159","MANHATTAN","68",,"5","2","5033.3","In Compliance ","1","209041","2","806","40.742534","-73.984641","Not Available","Gramercy                                                                   ","1008820085","Office","2366653","1018159","207958","None","472.9","591.4","PARK AVENUE SOUTH   ","381","5839.3","468","584.7","10016"
"No","Yes",,,"QUEENS",,,,,"790.6","In Compliance ","1","184896","54","270.8",,,"Not Available",,"4099500009","Multifamily Housing","2612579","4213177","184886","None","98.2","140","WEXFORD TERRACE     ","   182-30","1061.4","96.1","137.9","11432"
"No","Yes",,"1010382","MANHATTAN","69",,"2","3","18.9","In Compliance ","1","583530","64","4124.2","40.729135","-74.007043","12.17","West Village                                                               ","1006007501","Office","2379738","1010382","623027","Manual","83","233.9","HUDSON STREET       ","395","4143.1","81.6","232.5","10014"
"No","Yes",,"1013553","MANHATTAN","103",,"4","3","1394.2","In Compliance ","1","646464","99","899.1","40.752619","-73.994503","7.11","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007570054","Office","2379772","1013553;1084790","634915","Manual","46.2","83","WEST   34 STREET    ","330","2293.2","44.6","81.4","10001"
"No","Yes",,"1035058","MANHATTAN","11201",,"5","4","106.2","In Compliance ","1","73732","77","434.2","40.763617","-73.975543","66.93","Midtown-Midtown South                                                      ","1012720066","Office","2381188","1035058","75077","Manual","100.5","219.5","WEST   57 STREET    ","48","540.4","96.9","215.1","10019"
"No","Yes",,"1036149","MANHATTAN","80",,"6","4","0","In Compliance ","1","210777","83","1140.5","40.749798","-73.975165","13.87","Murray Hill-Kips Bay                                                       ","1012950040","Office","2381312","1036149","232673","Manual","61.5","169.7","   3 AVENUE         ","630","1140.5","59.6","167.3","10017"
"No","Yes",,"1044734","MANHATTAN","118",,"8","5","0","In Compliance ","1","239235","Not Available","4533.5","40.764843","-73.961243","19.19","Lenox Hill-Roosevelt Island                                                ","1014400049","Urgent Care/Clinic/Other Outpatient","2382101","1044734","238341","Manual","250.3","582.7","   2 AVENUE         ","1256","4533.5","248.3","580.9","10065"
"See Primary BBL","Yes","1-01462-00001;1-01462-0005","1087284","MANHATTAN","116","Secondary","8","5","See Primary BBL","In Compliance ","3","538454","See Primary BBL","See Primary BBL","40.764199","-73.955695","See Primary BBL","Lenox Hill-Roosevelt Island                                                ","1014620005","See Primary BBL","2382145","0","See Primary BBL","See Primary BBL",,"See Primary BBL","YORK AVENUE         ","1275","See Primary BBL","See Primary BBL","See Primary BBL","10065"
"Yes","Yes","1-01462-00001;1-01462-0005","1045572","MANHATTAN","116","Primary","8","5","0","In Compliance ","1","183626","Not Available","31496.6","40.764817","-73.958168","Not Available","Lenox Hill-Roosevelt Island                                                ","1014620001","Other - Specialty Hospital","2382145","1087284;1045572","1382117","None","310.7","626.9","   1 AVENUE         ","1250","31496.6","311","627.9","10065"
"No","Yes",,"1019888","MANHATTAN","66",,"6","2","1320.5","In Compliance ","1","253489","1","1014.5","40.742347","-73.980574","Not Available","Murray Hill-Kips Bay                                                       ","1009090001","Multifamily Housing","2383135","1019888","241489","None","153.6","267.1","   3 AVENUE         ","407","2334.9","153.6","267.1","10016"
"Yes","Yes",,"1017178","MANHATTAN","82",,"5","4","233.7","In Compliance ","1","85194","1","389.6","40.749417","-73.982867","Not Available","Murray Hill-Kips Bay                                                       ","1008667501","Multifamily Housing","2383139","1017178","75943","None","119.8","255.1","EAST   36 STREET    ","11","623.3","118.6","253.3","10016"
"Yes","Yes",,"3002201","BROOKLYN            ","501",,"2","33","55.8","In Compliance ","1","66500","100","83.8","40.694419","-73.995716","Not Available","Brooklyn Heights-Cobble Hill                                               ","3002530057","Multifamily Housing","2383143","3002201","72050","None","25.2","55.4","REMSEN STREET       ","68","139.7","Not Available","Not Available","11201"
"No","Yes",,"1017185","MANHATTAN","82",,"6","4","228.8","In Compliance ","1","92697","88","153.1","40.749505","-73.981211","Not Available","Murray Hill-Kips Bay                                                       ","1008667502","Multifamily Housing","2383146","1017185","92697","None","53.6","96.5","EAST   37 STREET    ","30","381.9","51.5","94.3","10016"
"No","Yes",,"1017928","MANHATTAN","50",,"6","2","21","In Compliance ","1","170000","Not Available","21135.6","40.736605","-73.98478","Not Available","Gramercy                                                                   ","1008750047","Multifamily Housing","2383152","1017928","158750","None","2002.4","2449.4","   3 AVENUE         ","230","21156.6","1907.5","2335.3","10003"
"Yes","Yes",,"1048721","MANHATTAN","138",,"8","5","456.2","In Compliance ","1","130234","39","283.8","40.777357","-73.954614","Not Available","Yorkville                                                                  ","1015290045","Multifamily Housing","2383250","1048721","137469","None","84.7","140.7","EAST   84 STREET    ","200","740","83.3","139.7","10028"
"Yes","Yes",,"1010405","MANHATTAN","69",,"2","3","186.7","In Compliance ","1","81040","45","179.3","40.731399","-74.007927","Not Available","West Village                                                               ","1006030037","Multifamily Housing","2383263","1010405","91170","None","62.3","115","GREENWICH STREET    ","644","366.1","Not Available","Not Available","10014"
"Yes","Yes",,"1040356","MANHATTAN","10601",,"6","4","259.5","In Compliance ","1","184782","1","952.2","40.756157","-73.963761","Not Available","Turtle Bay-East Midtown                                                    ","1013667501","Multifamily Housing","2383271","1040356","191569","None","85.3","214.9","EAST   54 STREET    ","415","1211.8","Not Available","Not Available","10022"
"Yes","Yes",,"1008962","MANHATTAN","42",,"3","2","1219.8","In Compliance ","1","261940","94","187","40.730263","-73.989381","48.88","East Village                                                               ","1005550028","Multifamily Housing","2383290","1008962","255037","ABS","72.3","91.9","   3 AVENUE         ","30","1406.8","67.8","87.3","10003"
